"company_id","url_count","reached_count"
415,"2","0"
976,"1","1"
729,"6","5"
680,"2","1"
408,"1","1"
782,"3","2"
689,"6","6"
522,"2","1"
982,"6","6"
674,"6","6"
630,"6","6"
11,"2","0"
575,"2","0"
821,"2","0"
401,"2","0"
659,"1","1"
739,"7","4"
279,"2","0"
9,"2","0"
903,"2","0"
716,"6","6"
741,"2","1"
543,"2","0"
897,"6","4"
736,"6","5"
565,"6","5"
566,"2","0"
457,"6","6"
85,"7","1"
592,"7","6"
281,"6","6"
687,"2","0"
553,"6","6"
302,"2","1"
288,"2","0"
21,"6","4"
622,"6","6"
927,"6","3"
774,"1","1"
398,"6","6"
635,"2","0"
388,"1","1"
165,"2","0"
56,"2","0"
151,"6","4"
820,"2","0"
620,"2","0"
992,"6","6"
894,"2","2"
245,"2","1"
205,"6","4"
67,"6","6"
325,"2","0"
673,"6","5"
895,"6","5"
783,"2","0"
484,"1","1"
334,"2","1"
144,"6","6"
558,"6","6"
540,"2","0"
168,"6","6"
598,"6","6"
471,"1","1"
287,"6","6"
464,"6","5"
167,"6","5"
277,"2","0"
290,"6","6"
300,"6","6"
662,"2","0"
284,"7","5"
342,"2","0"
367,"2","0"
588,"6","5"
41,"2","0"
206,"6","4"
439,"2","0"
46,"2","0"
586,"6","6"
572,"6","6"
53,"2","0"
32,"2","0"
336,"2","0"
275,"2","0"
247,"6","6"
260,"2","1"
423,"2","0"
136,"6","6"
139,"3","2"
411,"7","5"
869,"2","0"
425,"6","6"
864,"6","6"
672,"2","0"
825,"1","1"
316,"2","0"
731,"2","0"
403,"2","0"
256,"2","0"
654,"2","0"
332,"2","0"
628,"6","6"
33,"2","0"
885,"2","0"
422,"4","4"
549,"1","1"
185,"6","6"
215,"6","5"
653,"6","6"
380,"1","1"
130,"2","0"
23,"6","6"
486,"2","0"
612,"7","6"
625,"6","6"
617,"6","5"
765,"6","5"
552,"2","0"
887,"6","6"
959,"2","0"
314,"6","5"
819,"2","0"
817,"2","0"
386,"6","5"
426,"6","5"
364,"6","6"
433,"6","6"
877,"2","0"
169,"2","0"
299,"6","5"
92,"1","1"
605,"6","6"
345,"6","5"
541,"6","6"
971,"7","4"
660,"6","4"
910,"6","2"
437,"2","1"
236,"6","6"
941,"1","1"
957,"6","6"
949,"6","6"
197,"2","0"
135,"6","6"
493,"2","0"
665,"6","6"
707,"2","0"
454,"5","3"
759,"7","5"
879,"2","0"
482,"6","5"
227,"7","6"
500,"2","0"
311,"2","0"
73,"6","4"
103,"7","6"
875,"2","0"
239,"6","6"
121,"2","0"
420,"3","1"
561,"7","5"
845,"6","5"
755,"2","0"
196,"6","5"
291,"2","1"
15,"2","0"
859,"2","0"
842,"7","4"
767,"2","0"
61,"2","0"
244,"6","6"
602,"6","4"
691,"3","2"
468,"6","4"
697,"2","0"
721,"2","0"
251,"2","0"
705,"2","0"
104,"2","1"
960,"7","3"
171,"6","6"
397,"1","1"
427,"6","4"
604,"6","4"
786,"6","5"
347,"4","4"
179,"2","0"
562,"6","4"
636,"6","6"
321,"2","0"
105,"6","5"
402,"6","6"
804,"2","0"
445,"6","6"
866,"7","6"
889,"6","3"
991,"2","0"
776,"2","0"
467,"6","6"
327,"6","5"
253,"2","0"
581,"1","1"
692,"6","4"
14,"6","5"
109,"6","6"
133,"6","5"
724,"7","5"
372,"6","4"
339,"2","0"
600,"6","6"
772,"6","6"
335,"6","6"
603,"6","4"
591,"2","0"
808,"2","0"
383,"6","6"
301,"6","4"
7,"6","6"
757,"2","0"
771,"2","0"
827,"6","6"
254,"2","0"
377,"6","5"
952,"2","0"
159,"2","0"
432,"6","6"
986,"1","1"
857,"2","0"
619,"2","0"
890,"1","1"
20,"2","0"
319,"2","0"
1,"6","6"
76,"2","0"
517,"2","0"
129,"6","6"
203,"2","0"
789,"6","6"
346,"7","3"
71,"1","1"
267,"6","6"
68,"2","2"
773,"2","0"
146,"6","4"
80,"2","0"
861,"2","0"
511,"2","0"
162,"1","1"
738,"2","0"
797,"2","0"
582,"2","0"
943,"6","6"
330,"3","2"
237,"7","6"
751,"6","5"
262,"3","2"
451,"2","1"
323,"2","0"
337,"2","0"
348,"2","0"
504,"6","6"
238,"2","0"
399,"6","5"
112,"6","6"
560,"2","0"
547,"6","6"
818,"2","0"
268,"7","6"
613,"6","6"
737,"2","0"
569,"6","6"
124,"6","6"
615,"1","1"
452,"2","0"
798,"1","1"
830,"6","6"
200,"6","6"
988,"6","6"
964,"6","4"
601,"2","0"
590,"6","3"
82,"6","5"
990,"1","1"
202,"2","0"
685,"2","0"
905,"2","0"
973,"6","6"
610,"6","6"
79,"2","1"
678,"6","6"
812,"2","0"
579,"2","0"
510,"6","6"
198,"6","4"
17,"6","6"
212,"2","0"
28,"7","6"
404,"6","6"
720,"6","6"
917,"2","1"
997,"2","0"
489,"2","0"
515,"1","1"
616,"6","6"
706,"2","0"
83,"6","6"
63,"6","6"
571,"7","5"
516,"2","0"
216,"2","0"
956,"7","6"
666,"2","0"
542,"2","0"
395,"6","6"
882,"2","1"
958,"2","0"
295,"6","6"
213,"6","5"
694,"2","1"
955,"2","0"
